NOMEEMPRESA,PORTE,MEI,CNPJ,DS_LOGRADOURO,DS_NUMERO,DS_COMPLEMENTO,NO_BAIRRO,NR_CEP,NO_MUNICIPIO,DS_ATIVIDADE
NAME00000001,ME,S,36408656000100,RUA PIRACICABA,65,,JARDIM MARILANDIA,29111480.0,VILA VELHA,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
NAME00000002,ME,,36408656000200,RUA EXPEDICIONARIO OSWALDO SAUDINO,149,ANDAR: 2°; BOX: 60,SANTA TEREZINHA II,29240000.0,ALFREDO CHAVES,"REPRESENTANTES COMERCIAIS E AGENTES DO COMÉRCIO DE TÊXTEIS, VESTUÁRIO, CALÇADOS E ARTIGOS DE VIAGEM"
NAME00000003,ME,,36408656000300,RUA DR. ARLINDO SODRE,832,,CENTRO,29930000.0,SÃO MATEUS,COMÉRCIO VAREJISTA DE TECIDOS
NAME00000004,ME,,36408656000400,RUA PINHEIRO,36,QUADRA B8,NOVA VALVERDE,29156970.0,CARIACICA,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL
NAME00000005,ME,,36408656000500,RUA JERUZALEM,14,CX 3,CAMPO GRANDE,29146390.0,CARIACICA,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000006,ME,,36408656000600,RUA NELCI LOPES VIEIRA,1166,,JARDIM LIMOEIRO,29163650.0,SERRA,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO
NAME00000007,ME,,36408656000700,RUA URUGUAI,183,SALA 02,CENTRO,29150000.0,VITÓRIA,"ATIVIDADES DE CONSULTORIA EM GESTÃO EMPRESARIAL, EXCETO CONSULTORIA TÉCNICA ESPECÍFICA"
NAME00000008,ME,,36408656000800,RUA GOIAS,403,,JACARAIPE,29160000.0,SERRA,FABRICAÇÃO DE EMBALAGENS DE PAPEL
NAME00000009,EPP,,36408656000900,AVENIDA SILVIO AVIDOS,992,,SAO SILVANO,29706010.0,COLATINA,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL
NAME00000010,EPP,N,36408656001000,RUA SAO BARTOLOMEU,137,,DO QUADRO,29025210.0,VITÓRIA,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS
